"","No.","Player","Pos","Ht","Wt","Birth.Date","Exp","College","Team"
"200","3","Ray McCallum","PG","6-3",190,"June 12 1991","1","University of Detroit Mercy","Kings"
"201","23","Ben McLemore","SG","6-5",195,"February 11 1993","1","University of Kansas","Kings"
"202","22","Andre Miller","PG","6-3",200,"March 19 1976","15","University of Utah","Kings"
"203","20","Quincy Miller","PF","6-9",210,"November 18 1992","2","Baylor University","Kings"
"204","25","Eric Moreland","PF","6-10",238,"December 24 1991","R","Oregon State University","Kings"
"205","9","Ramon Sessions","PG","6-3",190,"April 11 1986","7","University of Nevada Reno","Kings"
"206","10","Nik Stauskas","SG","6-6",205,"October 7 1993","R","University of Michigan","Kings"
"207","9","David Stockton","PG","5-11",165,"June 24 1991","R","Gonzaga University","Kings"
"208","34","Jason Thompson","PF","6-11",250,"July 21 1986","6","Rider University","Kings"
"209","31","David Wear","PF","6-10",230,"September 21 1990","R","University of California Los Angeles","Kings"
"210","13","Derrick Williams","PF","6-8",240,"May 25 1991","3","University of Arizona","Kings"
"211","4","Quincy Acy","PF","6-7",240,"October 6 1990","2","Baylor University","Knicks"
"212","45","Cole Aldrich","C","6-11",250,"October 31 1988","4","University of Kansas","Knicks"
"213","21","Lou Amundson","PF","6-9",220,"December 7 1982","8","University of Nevada Las Vegas","Knicks"
"214","7","Carmelo Anthony","SF","6-8",240,"May 29 1984","11","Syracuse University","Knicks"
"215","77","Andrea Bargnani","C","7-0",245,"October 26 1985","8","","Knicks"
"216","3","Jose Calderon","PG","6-3",200,"September 28 1981","9","","Knicks"
"217","11","Samuel Dalembert","C","6-11",255,"May 10 1981","12","Seton Hall University","Knicks"
"218","17","Cleanthony Early","SF","6-8",210,"April 17 1991","R","Wichita State University","Knicks"
"219","2","Langston Galloway","PG","6-2",200,"December 9 1991","R","Saint Joseph's University","Knicks"
"220","5","Tim Hardaway","SG","6-6",205,"March 16 1992","1","University of Michigan","Knicks"
"221","0","Shane Larkin","PG","5-11",175,"October 2 1992","1","University of Miami","Knicks"
"222","11","Ricky Ledo","SG","6-7",195,"September 10 1992","1","","Knicks"
"223","9","Pablo Prigioni","PG","6-3",185,"May 17 1977","2","","Knicks"
"224","21","Iman Shumpert","SG","6-5",220,"June 26 1990","3","Georgia Institute of Technology","Knicks"
"225","1","Alexey Shved","SG","6-6",190,"December 16 1988","2","","Knicks"
"226","8","J.R. Smith","SG","6-6",225,"September 9 1985","10","","Knicks"
"227","14","Jason Smith","C","7-0",245,"March 2 1986","6","Colorado State University","Knicks"
"228","1","Amar'e Stoudemire","PF","6-10",245,"November 16 1982","12","","Knicks"
"229","42","Lance Thomas","PF","6-8",235,"April 24 1988","3","Duke University","Knicks"
"230","6","Travis Wear","SF","6-10",230,"September 21 1990","R","University of California Los Angeles","Knicks"
"231","28","Tarik Black","C","6-9",250,"November 22 1991","R","University of Kansas","Lakers"
"232","12","Vander Blue","SG","6-4",200,"July 17 1992","1","Marquette University","Lakers"
"233","5","Carlos Boozer","PF","6-9",258,"November 20 1981","12","Duke University","Lakers"
"234","15","Jabari Brown","SG","6-4",215,"December 18 1992","R","University of Missouri","Lakers"
"235","24","Kobe Bryant","SG","6-6",212,"August 23 1978","18","","Lakers"
"236","20","Dwight Buycks","PG","6-3",190,"March 6 1989","1","Marquette University","Lakers"
"237","6","Jordan Clarkson","PG","6-5",185,"June 7 1992","R","University of Missouri","Lakers"
"238","21","Ed Davis","PF","6-10",240,"June 5 1989","4","University of North Carolina","Lakers"
"239","2","Wayne Ellington","SG","6-4",200,"October 29 1987","5","University of North Carolina","Lakers"
"240","7","Xavier Henry","SF","6-6",220,"March 15 1991","4","University of Kansas","Lakers"
"241","27","Jordan Hill","C","6-10",235,"July 27 1987","5","University of Arizona","Lakers"
"242","11","Wesley Johnson","SF","6-7",215,"July 11 1987","4","Syracuse University","Lakers"
"243","4","Ryan Kelly","PF","6-11",230,"April 9 1991","1","Duke University","Lakers"
"244","17","Jeremy Lin","PG","6-3",200,"August 23 1988","4","Harvard University","Lakers"
"245","9","Ronnie Price","PG","6-2",190,"June 21 1983","9","Utah Valley State College","Lakers"
"246","30","Julius Randle","PF","6-9",250,"November 29 1994","R","University of Kentucky","Lakers"
"247","50","Robert Sacre","C","7-0",270,"June 6 1989","2","Gonzaga University","Lakers"
"248","0","Nick Young","SG","6-7",210,"June 1 1985","7","University of Southern California","Lakers"
"249","3","Dewayne Dedmon","C","7-0",245,"August 12 1989","1","University of Southern California","Magic"
"250","10","Evan Fournier","SG","6-7",205,"October 29 1992","2","","Magic"
"251","8","Channing Frye","PF","6-11",255,"May 17 1983","8","University of Arizona","Magic"
"252","0","Aaron Gordon","PF","6-9",220,"September 16 1995","R","University of Arizona","Magic"
"253","7","Ben Gordon","SG","6-3",200,"April 4 1983","10","University of Connecticut","Magic"
"254","34","Willie Green","SG","6-4",200,"July 28 1981","11","University of Detroit Mercy","Magic"
"255","21","Maurice Harkless","SF","6-9",215,"May 11 1993","2","St. John's University","Magic"
"256","12","Tobias Harris","SF","6-9",235,"July 15 1992","3","University of Tennessee","Magic"
"257","11","Devyn Marble","SG","6-6",200,"September 21 1992","R","University of Iowa","Magic"
"258","44","Andrew Nicholson","PF","6-9",250,"December 8 1989","2","St. Bonaventure University","Magic"
"259","2","Kyle O'Quinn","PF","6-10",250,"March 26 1990","2","Norfolk State University","Magic"
"260","5","Victor Oladipo","SG","6-4",210,"May 4 1992","1","Indiana University","Magic"
"261","4","Elfrid Payton","PG","6-4",185,"February 22 1994","R","University of Louisiana at Lafayette","Magic"
"262","13","Luke Ridnour","PG","6-2",175,"February 13 1981","11","University of Oregon","Magic"
"263","9","Nikola Vucevic","C","7-0",260,"October 24 1990","3","University of Southern California","Magic"
"264","7","Al-Farouq Aminu","SF","6-9",215,"September 21 1990","4","Wake Forest University","Mavs"
"265","5","J.J. Barea","PG","6-0",185,"June 26 1984","8","Northeastern University","Mavs"
"266","6","Tyson Chandler","C","7-1",240,"October 2 1982","13","","Mavs"
"267","9","Jae Crowder","SF","6-6",235,"July 6 1990","2","Marquette University","Mavs"
"268","11","Monta Ellis","SG","6-3",185,"October 26 1985","9","","Mavs"
"269","2","Raymond Felton","PG","6-1",205,"June 26 1984","9","University of North Carolina","Mavs"
"270","20","Devin Harris","PG","6-3",192,"February 27 1983","10","University of Wisconsin","Mavs"
"271","55","Bernard James","C","6-10",240,"February 7 1985","2","Florida State University","Mavs"
"272","24","Richard Jefferson","SF","6-7",233,"June 21 1980","13","University of Arizona","Mavs"
"273","1","Ricky Ledo","SG","6-7",195,"September 10 1992","1","","Mavs"
"274","14","Jameer Nelson","PG","6-0",190,"February 9 1982","10","Saint Joseph's University","Mavs"
"275","41","Dirk Nowitzki","PF","7-0",245,"June 19 1978","16","","Mavs"
"276","25","Chandler Parsons","SF","6-9",227,"October 25 1988","3","University of Florida","Mavs"
"277","8","Dwight Powell","PF","6-11",240,"July 20 1991","R","Stanford University","Mavs"
"278","9","Rajon Rondo","PG","6-1",186,"February 22 1986","8","University of Kentucky","Mavs"
"279","4","Greg Smith","PF","6-10",250,"January 8 1991","3","California State University Fresno","Mavs"
"280","1","Amar'e Stoudemire","PF","6-10",245,"November 16 1982","12","","Mavs"
"281","3","Charlie Villanueva","PF","6-11",232,"August 24 1984","9","University of Connecticut","Mavs"
"282","34","Brandan Wright","PF","6-10",210,"October 5 1987","6","University of North Carolina","Mavs"
"283","6","Alan Anderson","SG","6-6",220,"October 16 1982","5","Michigan State University","Nets"
"284","44","Bojan Bogdanovic","SF","6-8",216,"April 18 1989","R","","Nets"
"285","22","Markel Brown","SG","6-3",190,"January 29 1992","R","Oklahoma State University","Nets"
"286","55","Earl Clark","PF","6-10",225,"January 17 1988","5","University of Louisville","Nets"
"287","20","Brandon Davies","PF","6-10",240,"July 25 1991","1","Brigham Young University","Nets"
"288","2","Kevin Garnett","PF","6-11",240,"May 19 1976","19","","Nets"
"289","13","Jorge Gutierrez","PG","6-3",191,"December 27 1988","1","University of California","Nets"
"290","0","Jarrett Jack","PG","6-3",200,"October 28 1983","9","Georgia Institute of Technology","Nets"
"291","21","Cory Jefferson","PF","6-9",218,"December 26 1990","R","Baylor University","Nets"
"292","7","Joe Johnson","SG","6-7",240,"June 29 1981","13","University of Arkansas","Nets"
"293","9","Jerome Jordan","C","7-0",253,"September 29 1986","1","University of Tulsa","Nets"
"294","10","Sergey Karasev","SG","6-7",208,"October 26 1993","1","","Nets"
"295","47","Andrei Kirilenko","SF","6-9",220,"February 18 1981","12","","Nets"
"296","11","Brook Lopez","C","7-0",275,"April 1 1988","6","Stanford University","Nets"
"297","14","Darius Morris","PG","6-4",190,"January 3 1991","3","University of Michigan","Nets"
"298","1","Mason Plumlee","C","6-11",245,"March 5 1990","1","Duke University","Nets"
"299","33","Mirza Teletovic","PF","6-9",242,"September 18 1985","2","","Nets"
"300","8","Deron Williams","PG","6-3",200,"June 26 1984","9","University of Illinois at Urbana-Champaign","Nets"
"301","30","Thaddeus Young","PF","6-8",221,"June 21 1988","7","Georgia Institute of Technology","Nets"
"302","10","Arron Afflalo","SG","6-5",210,"October 15 1985","7","University of California Los Angeles","Nuggets"
"303","0","Darrell Arthur","PF","6-9",235,"March 25 1988","5","University of Kansas","Nuggets"
"304","5","Will Barton","SG","6-6",175,"January 6 1991","2","University of Memphis","Nuggets"
"305","21","Wilson Chandler","SF","6-8",225,"May 10 1987","7","DePaul University","Nuggets"
"306","20","Ian Clark","SG","6-3",175,"March 7 1991","1","Belmont University","Nuggets"
"307","35","Kenneth Faried","PF","6-8",228,"November 19 1989","3","Morehead State University","Nuggets"
"308","4","Randy Foye","SG","6-4",213,"September 24 1983","8","Villanova University","Nuggets"
"309","22","Jamaal Franklin","SG","6-5",191,"July 21 1991","1","San Diego State University","Nuggets"
"310","8","Danilo Gallinari","SF","6-10",225,"August 8 1988","5","","Nuggets"
"311","1","Alonzo Gee","SF","6-6",225,"May 29 1987","5","University of Alabama","Nuggets"
"312","11","Erick Green","PG","6-4",185,"May 9 1991","R","Virginia Polytechnic Institute and State University","Nuggets"
"313","14","Gary Harris","SG","6-4",210,"September 14 1994","R","Michigan State University","Nuggets"
"314","7","J.J. Hickson","C","6-9",242,"September 4 1988","6","North Carolina State University","Nuggets"
"315","77","Joffrey Lauvergne","C","6-11",220,"September 30 1991","R","","Nuggets"
"316","3","Ty Lawson","PG","5-11",195,"November 3 1987","5","University of North Carolina","Nuggets"
"317","34","JaVale McGee","C","7-0",270,"January 19 1988","6","University of Nevada Reno","Nuggets"
"318","25","Timofey Mozgov","C","7-1",275,"July 16 1986","4","","Nuggets"
"319","28","Jameer Nelson","PG","6-0",190,"February 9 1982","10","Saint Joseph's University","Nuggets"
"320","23","Jusuf Nurkic","C","7-0",280,"August 23 1994","R","","Nuggets"
"321","5","Nate Robinson","PG","5-9",180,"May 31 1984","9","University of Washington","Nuggets"
"322","5","Lavoy Allen","PF","6-9",255,"February 4 1989","3","Temple University","Pacers"
"323","22","Chris Copeland","SF","6-9",239,"March 17 1984","2","University of Colorado","Pacers"
"324","13","Paul George","SF","6-9",220,"May 2 1990","4","California State University Fresno","Pacers"
"325","55","Roy Hibbert","C","7-2",270,"December 11 1986","6","Georgetown University","Pacers"
"326","3","George Hill","PG","6-3",188,"May 4 1986","6","Indiana University-Purdue University Indianapolis","Pacers"
"327","44","Solomon Hill","SF","6-7",225,"March 18 1991","1","University of Arizona","Pacers"
"328","28","Ian Mahinmi","C","6-11",250,"November 5 1986","6","","Pacers"
"329","0","C.J. Miles","SG","6-6",231,"April 18 1987","9","","Pacers"
"330","12","A.J. Price","PG","6-2",181,"October 7 1986","5","University of Connecticut","Pacers"
"331","9","Damjan Rudez","SF","6-10",228,"June 17 1986","R","","Pacers"
"332","4","Luis Scola","PF","6-9",240,"April 30 1980","7","","Pacers"
"333","15","Donald Sloan","PG","6-3",205,"January 15 1988","3","Texas A&amp;M University","Pacers"
"334","2","Rodney Stuckey","PG","6-5",205,"April 21 1986","7","Eastern Washington University","Pacers"
"335","32","C.J. Watson","PG","6-2",175,"April 17 1984","7","University of Tennessee","Pacers"
"336","21","David West","PF","6-9",250,"August 29 1980","11","Xavier University","Pacers"
"337","42","Shayne Whittington","PF","6-11",250,"March 27 1991","R","Western Michigan University","Pacers"
"338","42","Alexis Ajinca","C","7-2",248,"May 6 1988","4","","Pelicans"
"339","33","Ryan Anderson","PF","6-10",240,"May 6 1988","6","University of California","Pelicans"
"340","3","Omer Asik","C","7-0",255,"July 4 1986","4","","Pelicans"
"341","8","Luke Babbitt","SF","6-9",225,"June 20 1989","4","University of Nevada Reno","Pelicans"
"342","30","Norris Cole","PG","6-2",175,"October 13 1988","3","Cleveland State University","Pelicans"
"343","0","Dante Cunningham","PF","6-8",230,"April 22 1987","5","Villanova University","Pelicans"
"344","23","Anthony Davis","PF","6-10",253,"March 11 1993","2","University of Kentucky","Pelicans"
"345","16","Toney Douglas","PG","6-2",195,"March 16 1986","5","Florida State University","Pelicans"
"346","1","Tyreke Evans","SF","6-6",220,"September 19 1989","5","University of Memphis","Pelicans"
"347","32","Jimmer Fredette","PG","6-2",195,"February 25 1989","3","Brigham Young University","Pelicans"
"348","10","Eric Gordon","SG","6-4",215,"December 25 1988","6","Indiana University","Pelicans"
