"","College","Longitude","Latitude"
"332","Emperor's College of Traditional Oriental Medicine",-118.4847,34.0303
"333","Empire College School of Business",-122.728642,38.467789
"334","Evergreen Valley College",-121.766686,37.301736
"335","Fashion Institute of Design & Merchandising-Los Angeles",-118.25993,34.044209
"336","Fashion Institute of Design & Merchandising-San Francisco",-122.406503,37.786324
"337","Fashion Institute of Design & Merchandising-Orange County",-117.852254,33.691963
"338","Feather River Community College District",-120.970877,39.952395
"339","Federico Beauty Institute",-121.497761,38.64883
"340","Fielding Graduate University",-119.717151,34.4294
"341","Five Branches University",-121.998478,36.964133
"342","Hair California Beauty Academy",-117.836692,33.805786
"343","Redondo Beach Beauty College",-118.37224,33.872918
"344","Foothill College",-122.12833,37.361104
"345","Franciscan School of Theology",-117.318006,33.230738
"346","Fredrick and Charles Beauty College",-124.165778,40.798811
"347","Fresno City College",-119.795129,36.767516
"348","Fresno Pacific University",-119.731953,36.725279
"349","Foothill-De Anza Community College District",-122.127054,37.360961
"350","Fuller Theological Seminary in California",-118.140261,34.14778
"351","Fullerton College",-117.916986,33.876794
"352","Gavilan College",-121.568174,36.973274
"353","Gemological Institute of America-Carlsbad",-117.318765,33.131313
"354","Glendale Community College",-118.228251,34.166422
"355","Glendale Career College",-118.254561,34.14969
"356","Golden Gate University-San Francisco",-122.398785,37.789208
"357","Golden West College",-118.003036,33.733775
"358","Graduate Theological Union",-122.261847,37.87554
"359","Grossmont-Cuyamaca Community College District",-117.007292,32.816054
"360","Grossmont College",-117.007292,32.816077
"361","Salon Success Academy-San Bernardino",-117.287615,34.135988
"362","Hartnell College",-121.668763,36.673052
"363","Harvey Mudd College",-117.710594,34.106137
"364","Heald College-Rancho Cordova",-121.280086,38.594382
"365","Heald College-Fresno",-119.795525,36.822401
"366","Heald College-San Jose",-121.893911,37.410897
"367","Heald College-San Francisco",-122.404299,37.781933
"368","Heald College-Concord",-122.030047,38.018938
"369","Hilltop Beauty School",-122.461674,37.705545
"370","Holy Names University",-122.18717,37.802654
"371","Pacifica Graduate Institute",-119.580264,34.420464
"372","Humboldt State University",-124.0814,40.8741
"373","Humphreys College-Stockton and Modesto Campuses",-121.316401,38.011051
"374","Imperial Valley College",-115.503903,32.827563
"375","Institute for Business and Technology",-121.969541,37.368642
"376","Interior Designers Institute",-117.865722,33.641393
"377","Toni & Guy Hairdressing Academy-Santa Monica",-118.494898,34.017466
"378","Irvine Valley College",-117.778575,33.675079
"379","ITT Technical Institute-National City",-117.105941,32.66165
"380","ITT Technical Institute-San Dimas",-117.818401,34.102405
"381","ITT Technical Institute-Orange",-117.896161,33.78006
"382","Bellus Academy-El Cajon",-116.945728,32.794827
"383","John F. Kennedy University",-122.183972,37.881794
"384","American Jewish University",-118.471764,34.128099
"385","Reedley College",-119.45993,36.605968
"386","Life Pacific College",-117.830997,34.089421
"387","The Art Institute of California-Argosy University San Diego",-117.155395,32.778278
"388","University of La Verne",-117.772634,34.10086
"389","Laguna College of Art and Design",-117.772564,33.561448
"390","Lake Tahoe Community College",-119.971631,38.926864
"391","Lancaster Beauty School",-118.148664,34.695646
"392","Laney College",-122.262434,37.796205
"393","Lassen Community College",-120.625041,40.447186
"394","Life Chiropractic College West",-122.11627,37.637639
"395","Lincoln University",-122.269745,37.804788
"396","Southern California Seminary",-116.900531,32.803259
"397","La Sierra University",-117.497071,33.908834
"398","Loma Linda University",-117.261056,34.051518
"399","Long Beach City College",-118.135819,33.831741
"400","Southern California University of Health Sciences",-117.985447,33.924638
"401","Los Angeles Community College District Office",-118.258063,34.048775
"402","Los Angeles Harbor College",-118.28186,33.784201
