"","Player","Team","Salary","Position"
"165","Kris Humphries","Washington Wizards","$4,250,000","PF"
"167","C.J. Miles","Indiana Pacers","$4,205,000","SF"
"168","Thabo Sefolosha","Atlanta Hawks","$4,150,000","SG"
"169","Dion Waiters","Oklahoma City Thunder","$4,062,000","SG"
"170","Samuel Dalembert","New York Knicks","$4,051,527","C"
"171","Cody Zeller","Charlotte Hornets","$4,030,560","PF"
"172","Danny Green","San Antonio Spurs","$4,025,000","SG"
"173","Mario Chalmers","Miami Heat","$4,000,000","PG"
"174","Ian Mahinmi","Indiana Pacers","$4,000,000","C"
"175","Aaron Gordon","Orlando Magic","$3,992,040","PF"
"176","Mo Williams","Charlotte Hornets","$3,965,074","PG"
"178","Vince Carter","Memphis Grizzlies","$3,911,981","SG"
"179","Kevin Seraphin","Washington Wizards","$3,898,692","C"
"180","Devin Harris","Dallas Mavericks","$3,878,896","PG"
"181","Bismack Biyombo","Charlotte Hornets","$3,873,398","C"
"182","Patty Mills","San Antonio Spurs","$3,842,105","PG"
"183","Joel Anthony","Detroit Pistons","$3,800,000","C"
"184","Raymond Felton","Dallas Mavericks","$3,793,693","PG"
"185","Jonas Valanciunas","Toronto Raptors","$3,678,360","C"
"186","Thomas Robinson","Portland Trail Blazers","$3,678,360","PF"
"187","Marreese Speights","Golden State Warriors","$3,657,500","C"
"189","Alex Len","Phoenix Suns","$3,649,920","C"
"190","Dante Exum","Utah Jazz","$3,615,000","PG"
"191","Brandon Knight","Phoenix Suns","$3,553,917","PG"
"192","Gerald Green","Phoenix Suns","$3,500,000","SG"
"193","Darrell Arthur","Denver Nuggets","$3,457,149","PF"
"194","Steve Novak","Utah Jazz","$3,445,947","SF"
"195","Matt Barnes","Los Angeles Clippers","$3,396,250","SF"
"196","Mirza Teletovic","Brooklyn Nets","$3,368,100","PF"
"197","Damian Lillard","Portland Trail Blazers","$3,340,920","PG"
"198","Mike Scott","Atlanta Hawks","$3,333,333","PF"
"200","Tyler Hansbrough","Toronto Raptors","$3,326,235","PF"
"201","Andrei Kirilenko","Brooklyn Nets","$3,326,235","SF"
"202","Mike Dunleavy","Chicago Bulls","$3,326,235","SG"
"203","Nerlens Noel","Philadelphia 76ers","$3,315,120","PF"
"204","Marcus Smart","Boston Celtics","$3,283,320","PG"
"205","Alexey Shved","Philadelphia 76ers","$3,282,056","PG"
"206","Jason Smith","New York Knicks","$3,278,000","PF"
"207","Evan Turner","Boston Celtics","$3,278,000","SG"
"208","Kemba Walker","Charlotte Hornets","$3,272,091","PG"
"209","Carlos Boozer","Los Angeles Lakers","$3,251,000","PF"
"211","Gary Neal","Charlotte Hornets","$3,250,000","PG"
"212","Carlos Delfino","Los Angeles Clippers","$3,250,000","SG"
"213","Anthony Morrow","Oklahoma City Thunder","$3,200,000","SG"
"214","Dorell Wright","Portland Trail Blazers","$3,150,000","SF"
"215","Quincy Pondexter","Memphis Grizzlies","$3,146,068","SF"
"216","Chris Copeland","Indiana Pacers","$3,135,000","SF"
"217","Klay Thompson","Golden State Warriors","$3,075,880","SG"
"218","Harrison Barnes","Golden State Warriors","$3,049,920","SF"
"219","Alec Burks","Utah Jazz","$3,034,356","SG"
"220","Ben McLemore","Sacramento Kings","$3,026,280","SG"
"222","Joel Freeland","Portland Trail Blazers","$3,013,512","C"
"223","Kosta Koufos","Memphis Grizzlies","$3,000,000","C"
"224","D.J. Augustin","Oklahoma City Thunder","$3,000,000","PG"
"225","Randy Foye","Denver Nuggets","$3,000,000","SG"
"226","Julius Randle","Los Angeles Lakers","$2,997,360","PF"
"227","Markieff Morris","Phoenix Suns","$2,989,239","PF"
"228","Furkan Aldemir","Philadelphia 76ers","$2,963,232","PF"
"229","Marcus Morris","Phoenix Suns","$2,943,221","PF"
"230","Will Bynum","Washington Wizards","$2,915,908","PG"
"231","Kawhi Leonard","San Antonio Spurs","$2,894,059","SF"
"233","Marco Belinelli","San Antonio Spurs","$2,873,750","SG"
"234","Terrence Ross","Toronto Raptors","$2,793,960","SF"
"235","Kentavious Caldwell-Pope","Detroit Pistons","$2,772,480","SG"
"236","Nikola Vucevic","Orlando Magic","$2,751,260","C"
"237","Luke Ridnour","Orlando Magic","$2,750,000","PG"
"238","Nik Stauskas","Sacramento Kings","$2,745,840","SG"
"239","Brian Roberts","Charlotte Hornets","$2,732,000","PG"
"240","Udonis Haslem","Miami Heat","$2,732,000","PF"
"241","Jameer Nelson","Denver Nuggets","$2,732,000","PG"
"242","Mike Miller","Cleveland Cavaliers","$2,732,000","SG"
"244","Kirk Hinrich","Chicago Bulls","$2,732,000","SG"
"245","Iman Shumpert","New York Knicks","$2,616,975","SG"
"246","Andre Drummond","Detroit Pistons","$2,568,360","C"
"247","Trey Burke","Utah Jazz","$2,548,560","PG"
"248","Noah Vonleh","Charlotte Hornets","$2,524,200","PF"
"249","James Johnson","Toronto Raptors","$2,500,000","PF"
"250","DeMarre Carroll","Atlanta Hawks","$2,442,455","SF"
"251","Austin Rivers","Los Angeles Clippers","$2,439,840","PG"
"252","Shelvin Mack","Atlanta Hawks","$2,433,333","PG"
"253","C.J. McCollum","Portland Trail Blazers","$2,421,000","SG"
"255","Elfrid Payton","Orlando Magic","$2,397,840","PG"
"256","Tobias Harris","Orlando Magic","$2,380,594","SF"
"257","Meyers Leonard","Portland Trail Blazers","$2,317,920","PF"
"258","Michael Carter-Williams","Philadelphia 76ers","$2,300,040","PG"
"259","Doug McDermott","Chicago Bulls","$2,277,960","SF"
"260","Kenneth Faried","Denver Nuggets","$2,249,768","PF"
"261","Nick Collison","Oklahoma City Thunder","$2,242,003","PF"
"262","Brendan Haywood","Cleveland Cavaliers","$2,213,668","C"
"263","Reggie Jackson","Oklahoma City Thunder","$2,204,369","PG"
"264","Jeremy Lamb","Oklahoma City Thunder","$2,202,000","SG"
"266","Steven Adams","Oklahoma City Thunder","$2,184,960","C"
"267","Vitor Faverani","Boston Celtics","$2,090,000","C"
"268","Ramon Sessions","Washington Wizards","$2,077,000","PG"
"269","Beno Udrih","Memphis Grizzlies","$2,077,000","PG"
"270","Josh Smith","Houston Rockets","$2,077,000","C"
"271","C.J. Watson","Indiana Pacers","$2,077,000","PG"
"272","Aron Baynes","San Antonio Spurs","$2,077,000","C"
"273","Kelly Olynyk","Boston Celtics","$2,075,760","C"
"274","Zach LaVine","Minnesota Timberwolves","$2,055,840","PG"
"275","Norris Cole","Miami Heat","$2,038,206","PG"
"277","Cory Joseph","San Antonio Spurs","$2,023,261","PG"
"278","Jimmy Butler","Chicago Bulls","$2,008,748","SG"
"279","DeJuan Blair","Washington Wizards","$2,000,000","C"
"280","John Salmons","New Orleans Pelicans","$2,000,000","SF"
"281","Kent Bazemore","Atlanta Hawks","$2,000,000","SF"
"282","John Henson","Milwaukee Bucks","$1,987,320","PF"
"283","Shabazz Muhammad","Minnesota Timberwolves","$1,971,960","SF"
"284","T.J. Warren","Phoenix Suns","$1,953,120","SF"
"285","Maurice Harkless","Orlando Magic","$1,887,840","SF"
"286","Giannis Antetokounmpo","Milwaukee Bucks","$1,873,200","SF"
"288","Adreian Payne","Minnesota Timberwolves","$1,855,320","PF"
"289","Jeff Ayres","San Antonio Spurs","$1,828,750","PF"
"290","Anthony Randolph","Orlando Magic","$1,825,359","SF"
"291","Jeremy Evans","Utah Jazz","$1,794,871","SF"
"292","Joffrey Lauvergne","Denver Nuggets","$1,790,281","C"
"293","Reggie Evans","Sacramento Kings","$1,768,653","C"
"294","Lucas Nogueira","Toronto Raptors","$1,762,680","C"
"295","Jusuf Nurkic","Denver Nuggets","$1,762,680","C"
"296","Luigi Datome","Detroit Pistons","$1,750,000","SF"
"297","Zoran Dragic","Phoenix Suns","$1,706,225","SG"
"299","Tyler Zeller","Boston Celtics","$1,703,760","C"
"300","Dennis Schroder","Atlanta Hawks","$1,690,680","PG"
"301","James Young","Boston Celtics","$1,674,480","SG"
"302","Pablo Prigioni","New York Knicks","$1,662,961","PG"
"303","Ryan Kelly","Los Angeles Lakers","$1,650,000","PF"
