"","Player","Position","Team","Salary14-15"
"171","Quincy Pondexter",", SF","Memphis Grizzlies","$3,146,068"
"179","Kosta Koufos",", C","Memphis Grizzlies","$3,000,000"
"225","Beno Udrih",", PG","Memphis Grizzlies","$2,077,000"
"283","Jordan Adams",", SG","Memphis Grizzlies","$1,344,120"
"333","Jeff Green",", SF","Memphis Grizzlies","$9,200,000"
"336","Mike Conley",", PG","Memphis Grizzlies","$8,694,216"
"349","Tayshaun Prince",", SF","Memphis Grizzlies","$7,707,865"
"373","Jon Leuer",", PF","Memphis Grizzlies","$967,500"
"411","Nick Calathes",", SG","Memphis Grizzlies","$816,482"
"418","Jarnell Stokes",", PF","Memphis Grizzlies","$725,000"
"432","Russ Smith",", PG","Memphis Grizzlies","$507,336"
"436","Kalin Lucas",", PG","Memphis Grizzlies","$486,446"
"461","JaMychal Green",", PF","Memphis Grizzlies","$134,295"
"473","Tyrus Thomas",", PF","Memphis Grizzlies","$53,838"
"6","Chris Bosh",", PF","Miami Heat","$20,644,400"
"24","Dwyane Wade",", SG","Miami Heat","$15,000,000"
"88","Chris Andersen",", PF","Miami Heat","$5,375,000"
"91","Josh McRoberts",", PF","Miami Heat","$5,305,000"
"129","Mario Chalmers",", PG","Miami Heat","$4,000,000"
"196","Udonis Haslem",", PF","Miami Heat","$2,732,000"
"231","Norris Cole",", PG","Miami Heat","$2,038,206"
"295","Shabazz Napier",", PG","Miami Heat","$1,238,640"
"297","Shawne Williams",", SF","Miami Heat","$1,227,985"
"326","Luol Deng",", SF","Miami Heat","$9,714,461"
"416","Hassan Whiteside",", C","Miami Heat","$769,881"
"431","James Ennis",", SF","Miami Heat","$507,336"
"454","Tyler Johnson",", SG","Miami Heat","$199,950"
"455","Henry Walker",", SF","Miami Heat","$196,217"
"456","Michael Beasley",", SF","Miami Heat","$195,440"
"479","Andre Dawkins",", SG","Miami Heat","$29,843"
"43","Nikola Pekovic",", C","Minnesota Timberwolves","$12,100,000"
"57","Kevin Martin",", SG","Minnesota Timberwolves","$6,792,500"
"80","Anthony Bennett",", PF","Minnesota Timberwolves","$5,563,920"
"81","Andrew Wiggins",", SG","Minnesota Timberwolves","$5,510,640"
"99","Chase Budinger",", SF","Minnesota Timberwolves","$5,000,000"
"109","Corey Brewer",", SG","Minnesota Timberwolves","$4,702,500"
"110","Ricky Rubio",", PG","Minnesota Timberwolves","$4,660,479"
"230","Zach LaVine",", PG","Minnesota Timberwolves","$2,055,840"
"239","Shabazz Muhammad",", SF","Minnesota Timberwolves","$1,971,960"
"244","Adreian Payne",", PF","Minnesota Timberwolves","$1,855,320"
"267","Ronny Turiaf",", C","Minnesota Timberwolves","$1,500,000"
"268","Miroslav Raduljica",", C","Minnesota Timberwolves","$1,500,000"
"279","Gorgui Dieng",", C","Minnesota Timberwolves","$1,413,480"
"398","Robbie Hummel",", SF","Minnesota Timberwolves","$880,000"
"417","Jeff Adrien",", SF","Minnesota Timberwolves","$742,962"
"447","Lorenzo Brown",", PG","Minnesota Timberwolves","$283,367"
"26","Eric Gordon",", SG","New Orleans Pelicans","$14,898,938"
"79","Anthony Davis",", PF","New Orleans Pelicans","$5,607,240"
"236","John Salmons",", SF","New Orleans Pelicans","$2,000,000"
"315","Tyreke Evans",", SG","New Orleans Pelicans","$11,265,416"
"325","Jrue Holiday",", PG","New Orleans Pelicans","$9,904,495"
"340","Ryan Anderson",", PF","New Orleans Pelicans","$8,491,500"
"343","Omer Asik",", C","New Orleans Pelicans","$8,374,646"
"371","Luke Babbitt",", SF","New Orleans Pelicans","$981,084"
"372","Alexis Ajinca",", C","New Orleans Pelicans","$981,084"
"412","Jeff Withey",", C","New Orleans Pelicans","$816,482"
"420","Dante Cunningham",", PF","New Orleans Pelicans","$716,043"
"425","Gal Mekel",", PG","New Orleans Pelicans","$633,974"
"434","Patric Young",", PF","New Orleans Pelicans","$507,336"
"464","Toney Douglas",", PG","New Orleans Pelicans","$107,676"
"4","Carmelo Anthony",", SF","New York Knicks","$22,458,401"
"50","Jose Calderon",", PG","New York Knicks","$7,097,191"
"61","J.R. Smith",", SG","New York Knicks","$6,515,510"
"126","Samuel Dalembert",", C","New York Knicks","$4,051,527"
"162","Jason Smith",", PF","New York Knicks","$3,278,000"
"201","Iman Shumpert",", SG","New York Knicks","$2,616,975"
"258","Pablo Prigioni",", PG","New York Knicks","$1,662,961"
"261","Shane Larkin",", PG","New York Knicks","$1,606,080"
"275","Lamar Odom",", PF","New York Knicks","$1,448,490"
"292","Tim Hardaway Jr.",", SG","New York Knicks","$1,250,640"
"313","Andrea Bargnani",", C","New York Knicks","$11,500,000"
"354","Arnett Moultrie",", PF","New York Knicks","$1,136,160"
"382","Cole Aldrich",", C","New York Knicks","$915,243"
"439","Lou Amundson",", PF","New York Knicks","$409,167"
"446","Amar'e Stoudemire",", PF","New York Knicks","$306,876"
